ID;ISO 3166-2;Code Géographique;Provinces;Ménages;Population;Etrangers;Marocains;Densite population;Pop totale;Pop urbaine;Pop rurale;Pop masculine;Pop féminine;Taux scolarisation 7-12 ans;Taux scolarisation 7-12 ans URBAINS;Taux scolarisation 7-12 ans RURAUX;Taux analphabétisme pop sup 10 ans;Taux analphabétisme pop sup 10 ans URBAINS;Taux analphabétisme pop sup 10 ans RURAL
511;MA-TNG;511;Préfecture  Tanger-Assilah;266738;1065601;5299;1060302;1025.96212789;1060261;1000644;59617;540280;519981;97.250272;97.44413;94.446973;21.775854;20.58265;42.110528
521;MA-BOD;521;Province  Tan-Tan;19472;86134;46;86088;7.34577006396;85655;82149;3506;43605;42050;97.18205;98.214483;68.882175;25.235257;24.02563;52.305085
531;MA-TAO;531;Province  Taounate;128719;662246;81;662165;118.758205427;660736;84780;575956;331007;329729;90.07254;97.138377;89.109321;47.818671;28.245224;50.728287
533;MA-TAI;533;Province  Taourirt;43676;233188;123;233065;30.9232101998;232752;149917;82835;114433;118319;91.339014;96.465193;83.196763;41.979584;34.043466;56.753227
537;MA-TAF;537;Province  Tarfaya;3393;13082;75;13007;1.06785394021;13028;7986;5042;7158;5870;96.698873;97.64268;94.954128;29.006686;24.309828;36.213992
541;MA-TAT;541;Province  Taroudannt;171186;838820;335;838485;52.3565793634;834907;247718;587189;400778;434129;96.151685;97.915973;95.461718;40.667622;27.771525;46.145572
551;MA-TIZ;551;Province  Tata;22359;117841;32;117809;4.38342780213;114758;37917;76841;50519;64239;97.007248;99.060694;96.024888;36.706836;24.963014;42.458298
561;MA-TAZ;561;Province  Taza;107408;528419;138;528281;86.6090513853;526986;206551;320435;259260;267726;93.436198;98.296958;90.778515;41.459192;26.867719;51.206377
571;MA-TET;571;Province  Tétouan;126969;550374;605;549769;285.366896366;547177;394849;152328;274866;272311;94.561195;98.218654;87.271475;27.546867;21.106788;45.152364
573;MA-MDF;573;Préfecture  M'Diq-Fnideq;51139;209897;579;209318;786.328576281;208899;197532;11367;107430;101469;97.462296;97.652245;94.352941;24.151571;23.512943;35.060319
577;MA-TIN;577;Province  Tinghir;49990;322412;111;322301;23.5543754379;321184;75007;246177;158603;162581;93.30018;97.249169;92.278059;37.10272;25.04719;40.94563
581;MA-ASZ;581;Province  Tiznit;51142;207367;198;207169;40.1749392232;205182;80400;124782;95875;109307;96.621286;99.01599;94.998333;35.936706;22.130131;44.618486
585;MA-YUS;585;Province  Youssoufia;45030;251943;73;251870;86.166751735;251943;100883;151060;128372;123571;91.339551;97.381408;88.238031;42.803013;26.113692;54.884023
587;MA-ZAG;587;Province  Zagora;38067;307306;122;307184;13.8392426667;305510;50668;254842;149094;156416;95.767139;97.690531;95.391942;36.784504;26.021516;38.977835
591;MA-MOU;591;Province  Moulay Yacoub;31338;174079;31;174048;119.449853475;172311;23383;148928;88071;84240;93.069083;95.930791;92.597869;46.810702;38.399774;48.100366
